,experiment,application,average,node,average_seconds
0,n1_x1,storm_logprocessing,19.8955479452055,1,0.0198955479452055
1,n1_x1,storm_trafficmonitoring,49998715.1504268,1,49998.7151504268
2,n1_x1,storm_wordcount,3538.36462719841,1,3.5383646271984097
3,n1_x1_x2_x1_x4_x2,spark_logprocessing,10448.3701592624,1,10.4483701592624
4,n1_x1_x2_x1_x4_x2,storm_logprocessing,0.390421655387819,1,0.000390421655387819
5,n1_x1_x2_x2,storm_trafficmonitoring,480267.368421053,1,480.267368421053
6,n1_x1_x5_x6_x3,spark_wordcount,23625.82965848,1,23.62582965848
7,n1_x1_x5_x6_x3,storm_wordcount,4657.0742391463,1,4.6570742391463
8,n1_x2,storm_logprocessing,160.380360439566,1,0.160380360439566
9,n1_x2,storm_trafficmonitoring,2222317.41169948,1,2222.31741169948
10,n1_x2,storm_wordcount,9462.522255052909,1,9.462522255052908
11,n1_x2_x10_x12_x6,storm_wordcount,8719.465946589109,1,8.719465946589109
12,n1_x2_x2_x1_x4_x2,spark_logprocessing,4872.89626207476,1,4.87289626207476
13,n1_x2_x2_x1_x4_x2,storm_logprocessing,65.5664704688451,1,0.0655664704688451
14,n1_x2_x2_x2,storm_trafficmonitoring,607058.175182482,1,607.058175182482
15,n1_x2_x5_x6_x3,spark_wordcount,33603.3111416812,1,33.6033111416812
16,n1_x2_x5_x6_x3,storm_wordcount,8627.69896452359,1,8.62769896452359
17,n1_x3,storm_logprocessing,82.4846330505565,1,0.08248463305055649
18,n1_x3,storm_trafficmonitoring,531806.395867404,1,531.8063958674039
19,n1_x3,storm_wordcount,16978.8413436499,1,16.9788413436499
20,n1_x3_x15_x18_x9,storm_wordcount,14991.9144596536,1,14.9919144596536
21,n1_x3_x3_x6_x3,storm_wordcount,13218.5113080299,1,13.2185113080299
22,n1_x3_x5_x6_x3,spark_wordcount,31052.7268609758,1,31.0527268609758
23,n1_x3_x5_x6_x3,storm_wordcount,9663.0419756177,1,9.6630419756177
24,n1_x3_x6_x12_x3,storm_wordcount,10940.301473001899,1,10.940301473001899
25,n1_x4,storm_logprocessing,51.13218064954479,1,0.05113218064954479
26,n1_x4,storm_trafficmonitoring,1992352.24441956,1,1992.35224441956
27,n1_x4,storm_wordcount,24831.9295261075,1,24.831929526107498
28,n1_x4_x2_x1_x4_x2,spark_logprocessing,3582.4175639300106,1,3.5824175639300107
