timestamp,source,splitSentence,wordCount
1418678308,0,0,0
1418678313,0,2303,1954
1418678318,435,2749,2511
1418678323,654,3928,4384
1418678328,581,8495,7690
1418678333,1397,16417,14933
1418678338,228,15099,16409
1418678343,1219,19361,18969
1418678348,0,28580,29712
1418678353,504,29616,29512
1418678358,1213,32412,31041
1418678363,0,27566,28911
1418678368,1863,29024,27912
1418678373,1328,29182,30432
1418678378,617,29540,29498
1418678383,0,27836,27800
1418678388,713,29646,29965
1418678393,1022,30565,29772
1418678398,0,31031,31913
1418678403,672,29613,29604
1418678408,1105,30263,28922
1418678413,1764,27180,28020
1418678418,0,29521,29508
1418678423,630,30391,30987
1418678428,625,30450,30307
1418678433,1076,32829,32917
1418678438,90,31967,32089
1418678443,0,32065,31858
1418678448,762,31784,31792
1418678453,1190,30618,30555
1418678458,1337,26664,26841
1418678463,178,31586,31527
1418678468,0,32155,31801
1418678473,665,31424,31719
1418678478,768,31592,31212
1418678483,533,32065,32471
1418678488,0,32108,31392
1418678493,1353,32523,31732
1418678498,1676,31415,31538
1418678503,0,30504,31051
1418678508,680,31268,31638
1418678513,517,31128,31622
1418678518,510,31937,32066
1418678523,0,31437,31782
1418678528,1058,30745,30221
1418678533,1636,29982,29073
1418678538,0,31800,32315
1418678543,723,31669,30491
1418678548,241,30237,31873
1418678553,605,30937,31130
1418678558,0,32363,31538
1418678563,1497,29008,29310
1418678569,856,25683,25967
1418678574,686,31743,30832
1418678579,311,31047,31504
1418678584,486,30411,31121
1418678589,0,32159,31603
1418678594,2479,30054,30190
1418678599,538,29081,29153
1418678604,800,31660,31212
1418678609,76,30035,30361
1418678614,948,29295,29775
1418678619,0,31677,31278
1418678624,1254,31213,30638
1418678629,1482,30239,30769
1418678634,0,31686,31062
1418678639,682,30293,30982
1418678644,0,31107,31430
1418678649,981,28330,27607
1418678654,0,29955,30637
1418678659,336,31378,30488
1418678664,2485,29810,30252
1418678669,36,30090,30243
1418678674,714,31163,30907
1418678679,0,30555,30489
1418678684,1032,29685,30010
1418678689,485,31198,31048
1418678694,229,31005,31101
1418678699,2402,29925,29677
1418678704,322,31312,31835
1418678709,0,30261,30232
1418678714,850,32155,31686
1418678719,0,32499,31231
1418678724,890,28694,29550
1418678729,615,28725,29290
1418678734,0,28932,29308
1418678739,1744,30393,30434
1418678744,1186,32459,31355
1418678749,0,32059,32950
1418678754,870,30607,30446
1418678759,879,30847,30694
1418678764,65,29708,30127
1418678769,0,30686,30113
