timestamp,source,splitSentence,wordCount
1419328217,0,0,0
1419328222,634,3094,1943
1419328227,233,22130,8536
1419328232,819,40949,55471
1419328237,758,24714,24943
1419328242,818,24469,24030
1419328247,713,24219,24086
1419328252,719,18757,19396
1419328257,668,16701,16760
1419328262,768,22771,22477
1419328267,585,16079,16163
1419328272,955,34200,33727
1419328277,815,27025,27416
1419328282,852,27482,27745
1419328287,771,28060,28076
1419328292,816,27176,26695
1419328297,878,30208,30452
1419328302,791,23214,23124
1419328307,841,27945,27835
1419328312,815,26133,26690
1419328317,866,30571,29570
1419328322,769,25306,25588
1419328327,971,27628,28246
1419328332,908,29277,28692
1419328337,841,25684,26188
1419328342,604,18261,17955
1419328347,817,27477,28001
1419328352,488,15766,15697
1419328357,531,16028,15698
1419328362,467,15409,15108
1419328367,526,17546,18125
1419328372,456,13203,13190
1419328377,599,14531,14270
1419328382,508,15274,15512
1419328387,476,16113,16067
1419328392,445,14638,14650
1419328397,500,16008,16026
1419328402,433,13273,13320
1419328407,492,15377,15249
1419328412,495,17003,17075
1419328417,641,21072,21187
1419328422,453,14369,14131
1419328427,444,14419,14285
1419328432,403,10808,11125
1419328437,586,19584,19490
1419328442,760,31921,31001
1419328447,828,26317,27259
1419328452,796,27339,26519
1419328457,843,26031,26732
1419328462,935,32621,32385
1419328467,912,29297,29725
1419328472,1131,34614,33895
1419328477,923,31109,29927
1419328482,835,27220,29019
1419328487,673,20712,20540
1419328492,751,23043,22999
1419328497,972,33679,34100
1419328502,1044,37868,37672
1419328507,953,31794,31404
1419328512,793,24751,25300
1419328517,794,22128,21780
1419328522,886,31101,31256
1419328527,706,21386,21474
1419328532,906,29905,29734
1419328537,611,19526,19893
1419328542,727,21962,21866
1419328547,679,21376,21076
1419328552,1614,26842,25813
1419328557,724,24769,47141
1419328562,704,20956,21182
1419328567,863,22012,28536
1419328572,729,27973,22790
1419328577,1012,22831,37061
1419328582,789,36829,25141
1419328587,802,26021,27237
1419328592,566,42792,16316
1419328597,715,22156,21806
1419328602,840,25445,25712
1419328607,844,28463,28491
1419328612,784,26373,26491
1419328617,730,24336,24071
1419328622,932,28538,28626
1419328627,837,26958,26765
1419328632,809,25620,25693
1419328637,695,21341,21556
1419328642,663,20049,19218
1419328647,994,33172,33768
1419328652,442,13710,13065
1419328657,975,33561,33631
1419328662,736,23705,24650
1419328667,446,16187,16114
1419328672,561,16483,15912
1419328677,525,15699,16141
1419328682,450,14568,14385
1419328687,472,14422,14834
1419328692,628,21353,21254
1419328697,498,16277,16376
1419328702,510,17274,17213
1419328708,309,7862,7961
1419328713,419,13275,12941
1419328718,475,16156,16435
1419328723,529,17422,17117
1419328728,531,17093,17300
1419328733,527,18207,18145
1419328738,292,9939,9291
1419328743,567,22069,22642
1419328748,565,19543,19164
1419328753,602,17801,18387
1419328758,677,21260,21113
1419328763,761,26093,26076
1419328768,766,25284,23500
1419328773,922,30636,32413
1419328778,979,33582,33716
1419328783,925,31204,31173
1419328788,813,26156,25574
1419328793,833,25631,25715
1419328798,577,17028,17547
1419328803,839,26080,26026
1419328808,866,27963,27678
1419328813,1025,32561,32941
1419328818,888,30344,29893
1419328823,1021,33747,33871
1419328828,1134,26088,26178
1419328833,656,20010,19680
1419328838,800,25210,25645
1419328843,940,30356,30002
1419328848,800,29549,29541
1419328853,905,31572,31922
1419328858,922,31817,31660
1419328863,752,22457,22458
