timestamp,mean,p99_min,p99_max
1419328217,1451.0,2649,2649
1419328222,2551.0,4571,4571
1419328227,9653.0,10750,10750
1419328232,6101.0,10741,10741
1419328237,3964.0,10741,10741
1419328242,2949.0,10719,10719
1419328247,2280.0,10718,10718
1419328252,1928.0,10705,10705
1419328257,1718.0,10689,10689
1419328262,1389.0,10596,10596
1419328267,1249.0,10581,10581
1419328272,930.0,10545,10545
1419328277,809.0,10491,10491
1419328282,686.0,10404,10404
1419328287,527.0,10117,10117
1419328292,438.0,9975,9975
1419328297,361.0,9822,9822
1419328302,305.0,9749,9749
1419328307,262.0,9215,9215
1419328312,222.0,9132,9132
1419328317,195.0,9026,9026
1419328322,170.0,4021,4021
1419328327,150.0,2964,2964
1419328332,136.0,2303,2303
1419328337,123.0,1812,1812
1419328342,113.0,756,756
1419328347,103.0,561,561
1419328352,99.0,561,561
1419328357,89.0,545,545
1419328362,85.0,451,451
1419328367,80.0,342,342
1419328372,71.0,313,313
1419328377,64.0,273,273
1419328382,61.0,272,272
1419328387,56.0,259,259
1419328392,51.0,242,242
1419328397,47.0,224,224
1419328402,44.0,204,204
1419328407,42.0,184,184
1419328412,42.0,176,176
1419328417,41.0,175,175
1419328422,38.0,175,175
1419328427,35.0,176,176
1419328432,35.0,175,175
1419328437,33.0,169,169
1419328442,40.0,209,209
1419328447,40.0,208,208
1419328452,41.0,205,205
1419328457,40.0,205,205
1419328462,44.0,203,203
1419328467,41.0,178,178
1419328472,53.0,323,323
1419328477,54.0,320,320
1419328482,57.0,325,325
1419328487,56.0,323,323
1419328492,54.0,323,323
1419328497,58.0,323,323
1419328502,71.0,364,364
1419328507,69.0,363,363
1419328512,67.0,363,363
1419328517,64.0,363,363
1419328522,68.0,349,349
1419328527,65.0,349,349
1419328532,63.0,336,336
1419328537,59.0,333,333
1419328542,59.0,330,330
1419328547,55.0,329,329
1419328552,55.0,322,322
1419328557,55.0,317,317
1419328562,51.0,281,281
1419328567,51.0,273,273
1419328572,53.0,257,257
1419328577,51.0,252,252
1419328582,53.0,250,250
1419328587,59.0,317,317
1419328592,55.0,316,316
1419328597,52.0,306,306
1419328602,52.0,306,306
1419328607,51.0,293,293
1419328612,52.0,274,274
1419328617,49.0,262,262
1419328622,52.0,238,238
1419328627,50.0,230,230
1419328632,51.0,219,219
1419328637,49.0,214,214
1419328642,48.0,214,214
1419328647,67.0,495,495
1419328652,63.0,486,486
1419328657,67.0,455,455
1419328662,65.0,455,455
1419328667,60.0,357,357
1419328672,56.0,338,338
1419328677,53.0,338,338
1419328682,49.0,336,336
1419328687,47.0,336,336
1419328692,47.0,323,323
1419328697,45.0,329,329
1419328702,42.0,323,323
1419328708,40.0,323,323
1419328713,38.0,317,317
1419328718,36.0,247,247
1419328723,34.0,231,231
1419328728,34.0,214,214
1419328733,32.0,208,208
1419328738,32.0,208,208
1419328743,38.0,239,239
1419328748,39.0,239,239
1419328753,36.0,225,225
1419328758,36.0,208,208
1419328763,34.0,199,199
1419328768,34.0,199,199
1419328773,39.0,208,208
1419328778,44.0,208,208
1419328783,50.0,224,224
1419328788,47.0,219,219
1419328793,45.0,219,219
1419328798,45.0,219,219
1419328803,44.0,213,213
1419328808,43.0,209,209
1419328813,44.0,207,207
1419328818,43.0,196,196
1419328823,45.0,192,192
1419328828,45.0,191,191
1419328833,43.0,190,190
1419328838,42.0,178,178
1419328843,44.0,178,178
1419328848,46.0,183,183
1419328853,48.0,184,184
1419328858,55.0,199,199
1419328863,53.0,197,197
1419328868,54.0,199,199
1419328873,53.0,197,197
1419328878,51.0,197,197
1419328883,58.0,218,218
1419328888,56.0,221,221
1419328893,53.0,218,218
1419328898,50.0,212,212
1419328903,48.0,211,211
1419328908,53.0,232,232
1419328913,52.0,221,221
1419328918,52.0,232,232
1419328923,52.0,232,232
1419328928,50.0,215,215
1419328933,49.0,213,213
1419328938,53.0,206,206
1419328943,51.0,211,211
1419328948,50.0,207,207
1419328953,47.0,204,204
1419328958,46.0,204,204
1419328963,48.0,204,204
1419328968,47.0,204,204
1419328973,51.0,230,230
1419328978,52.0,215,215
1419328983,51.0,215,215
1419328988,48.0,215,215
1419328993,45.0,214,214
1419328998,43.0,206,206
1419329003,42.0,206,206
1419329008,40.0,204,204
1419329013,38.0,204,204
1419329018,37.0,202,202
1419329023,35.0,194,194
1419329028,34.0,178,178
1419329033,40.0,175,175
1419329038,40.0,194,194
1419329043,38.0,191,191
1419329048,37.0,186,186
1419329053,35.0,182,182
1419329058,34.0,182,182
1419329063,42.0,404,404
1419329068,41.0,404,404
1419329073,39.0,404,404
1419329078,45.0,353,353
1419329083,42.0,296,296
1419329088,59.0,378,378
1419329093,59.0,367,367
1419329098,57.0,367,367
1419329103,53.0,353,353
1419329108,50.0,341,341
1419329113,48.0,296,296
1419329118,52.0,291,291
1419329123,49.0,272,272
1419329128,48.0,272,272
1419329133,47.0,226,226
1419329138,47.0,226,226
1419329143,46.0,217,217
1419329148,45.0,209,209
1419329153,48.0,211,211
1419329158,53.0,316,316
1419329163,53.0,316,316
1419329168,54.0,300,300
1419329173,53.0,272,272
1419329178,51.0,258,258
1419329183,52.0,254,254
1419329188,50.0,254,254
1419329193,48.0,242,242
1419329198,50.0,241,241
1419329203,48.0,239,239
1419329208,46.0,222,222
1419329213,43.0,220,220
1419329218,47.0,220,220
1419329223,51.0,217,217
1419329228,48.0,217,217
1419329233,55.0,258,258
1419329238,53.0,258,258
1419329243,49.0,257,257
1419329248,48.0,257,257
1419329253,51.0,255,255
1419329258,49.0,255,255
1419329263,49.0,254,254
1419329268,47.0,250,250
1419329273,45.0,247,247
1419329278,42.0,247,247
1419329283,43.0,243,243
1419329288,45.0,233,233
1419329293,43.0,221,221
1419329298,41.0,221,221
1419329303,40.0,213,213
1419329308,41.0,221,221
1419329314,39.0,221,221
1419329319,38.0,206,206
1419329324,36.0,206,206
1419329329,35.0,206,206
1419329334,35.0,189,189
1419329339,35.0,184,184
1419329344,35.0,184,184
1419329349,34.0,181,181
1419329354,33.0,181,181
1419329359,33.0,194,194
1419329364,31.0,185,185
1419329369,30.0,185,185
1419329374,28.0,184,184
1419329379,28.0,181,181
1419329384,28.0,172,172
1419329389,27.0,157,157
1419329394,28.0,157,157
1419329399,26.0,153,153
1419329404,25.0,146,146
1419329409,25.0,145,145
1419329414,26.0,144,144
1419329419,26.0,140,140
1419329424,29.0,127,127
1419329429,28.0,122,122
1419329434,27.0,129,129
1419329439,32.0,164,164
1419329444,31.0,162,162
1419329449,29.0,153,153
1419329454,28.0,153,153
1419329459,35.0,188,188
1419329464,37.0,188,188
1419329469,61.0,430,430
1419329474,66.0,427,427
1419329479,65.0,426,426
1419329484,58.0,422,422
1419329489,54.0,417,417
1419329494,54.0,396,396
1419329499,52.0,393,393
1419329504,50.0,383,383
1419329509,48.0,372,372
1419329514,45.0,372,372
1419329519,46.0,371,371
1419329524,53.0,337,337
1419329529,49.0,335,335
1419329534,48.0,335,335
1419329539,48.0,328,328
1419329544,46.0,325,325
1419329549,44.0,324,324
1419329554,41.0,311,311
1419329559,41.0,254,254
1419329564,46.0,245,245
1419329569,45.0,238,238
1419329574,43.0,234,234
1419329579,42.0,215,215
1419329584,40.0,203,203
1419329589,38.0,200,200
1419329594,37.0,200,200
1419329599,36.0,177,177
1419329604,36.0,179,179
1419329609,35.0,177,177
1419329614,39.0,234,234
1419329619,38.0,220,220
1419329624,37.0,213,213
1419329629,35.0,213,213
1419329634,35.0,210,210
1419329639,34.0,198,198
1419329644,34.0,178,178
1419329649,33.0,178,178
1419329654,31.0,161,161
1419329659,29.0,157,157
1419329664,27.0,155,155
1419329669,29.0,150,150
1419329674,30.0,134,134
1419329679,29.0,131,131
1419329684,29.0,131,131
1419329689,30.0,157,157
1419329694,28.0,150,150
1419329699,29.0,166,166
1419329704,27.0,166,166
1419329709,25.0,166,166
1419329714,28.0,158,158
1419329719,34.0,164,164
1419329724,33.0,161,161
1419329729,33.0,159,159
1419329734,33.0,158,158
1419329739,33.0,158,158
1419329744,32.0,152,152
1419329749,34.0,152,152
1419329754,34.0,152,152
1419329759,35.0,151,151
1419329764,33.0,150,150
1419329769,36.0,169,169
1419329774,39.0,158,158
1419329779,39.0,152,152
1419329784,38.0,151,151
1419329789,54.0,359,359
1419329794,53.0,358,358
1419329799,54.0,358,358
1419329804,50.0,328,328
1419329809,50.0,328,328
1419329814,55.0,294,294
1419329819,53.0,290,290
1419329824,66.0,313,313
1419329829,64.0,312,312
1419329834,61.0,312,312
1419329839,59.0,309,309
1419329844,56.0,308,308
1419329849,54.0,304,304
1419329854,51.0,283,283
1419329859,52.0,258,258
1419329864,50.0,244,244
1419329869,46.0,243,243
1419329874,44.0,213,213
1419329879,45.0,210,210
1419329884,41.0,201,201
1419329890,39.0,190,190
1419329895,46.0,418,418
1419329900,47.0,362,362
1419329905,47.0,359,359
1419329910,46.0,350,350
1419329915,44.0,328,328
1419329920,51.0,331,331
1419329925,48.0,328,328
1419329930,48.0,328,328
1419329935,51.0,384,384
1419329940,51.0,372,372
1419329945,53.0,366,366
1419329950,51.0,359,359
1419329955,52.0,321,321
1419329960,50.0,248,248
1419329965,47.0,248,248
1419329970,45.0,231,231
1419329975,48.0,277,277
1419329980,47.0,277,277
1419329985,47.0,260,260
1419329990,44.0,248,248
1419329995,42.0,231,231
1419330000,39.0,231,231
1419330005,36.0,212,212
1419330010,37.0,201,201
1419330015,35.0,201,201
1419330020,33.0,197,197
1419330025,30.0,195,195
1419330030,30.0,193,193
1419330035,30.0,190,190
1419330040,35.0,214,214
1419330045,34.0,214,214
1419330050,42.0,277,277
1419330055,42.0,259,259
1419330060,46.0,256,256
1419330065,70.0,410,410
1419330070,65.0,398,398
1419330075,65.0,398,398
1419330080,61.0,390,390
1419330085,59.0,359,359
1419330090,56.0,355,355
1419330095,52.0,340,340
1419330100,51.0,339,339
1419330105,49.0,337,337
1419330110,47.0,337,337
1419330115,47.0,325,325
1419330120,51.0,337,337
1419330125,49.0,325,325
1419330130,49.0,309,309
1419330135,50.0,262,262
1419330140,49.0,240,240
1419330145,49.0,228,228
1419330150,58.0,313,313
1419330155,52.0,291,291
1419330160,52.0,291,291
1419330165,52.0,283,283
1419330170,51.0,283,283
1419330175,54.0,268,268
1419330180,58.0,275,275
1419330185,61.0,283,283
1419330190,65.0,275,275
1419330195,63.0,274,274
1419330200,61.0,274,274
1419330205,64.0,268,268
1419330210,60.0,261,261
1419330215,58.0,254,254
1419330220,56.0,246,246
1419330225,56.0,246,246
1419330230,54.0,245,245
1419330235,53.0,244,244
1419330240,54.0,235,235
1419330245,52.0,226,226
1419330250,52.0,207,207
1419330255,51.0,204,204
1419330260,50.0,202,202
1419330265,58.0,441,441
1419330270,56.0,441,441
1419330275,53.0,441,441
1419330280,50.0,436,436
1419330285,47.0,436,436
1419330290,45.0,436,436
1419330295,43.0,429,429
1419330300,41.0,429,429
1419330305,41.0,427,427
1419330310,38.0,390,390
1419330315,36.0,348,348
1419330320,38.0,213,213
1419330325,38.0,236,236
1419330330,37.0,224,224
1419330335,34.0,224,224
1419330340,34.0,207,207
1419330345,35.0,235,235
1419330350,40.0,248,248
1419330355,44.0,280,280
1419330360,42.0,271,271
1419330365,41.0,240,240
1419330370,46.0,239,239
1419330375,44.0,235,235
1419330380,45.0,217,217
1419330385,48.0,242,242
1419330390,46.0,239,239
1419330395,46.0,227,227
1419330400,49.0,220,220
1419330405,48.0,217,217
1419330410,53.0,360,360
1419330415,52.0,354,354
1419330420,51.0,328,328
1419330425,51.0,323,323
1419330430,49.0,323,323
1419330435,50.0,270,270
1419330440,54.0,253,253
1419330445,59.0,267,267
1419330450,56.0,267,267
1419330455,56.0,252,252
1419330460,53.0,244,244
1419330465,49.0,235,235
1419330470,52.0,242,242
1419330475,54.0,253,253
1419330480,51.0,252,252
1419330485,51.0,242,242
1419330490,58.0,261,261
1419330495,56.0,256,256
1419330501,56.0,254,254
1419330506,53.0,254,254
1419330511,52.0,253,253
1419330516,49.0,252,252
1419330521,46.0,238,238
1419330526,46.0,235,235
1419330531,59.0,288,288
1419330536,57.0,287,287
1419330541,58.0,287,287
1419330546,61.0,307,307
1419330551,58.0,301,301
1419330556,55.0,301,301
1419330561,53.0,272,272
1419330566,55.0,272,272
1419330571,68.0,474,474
1419330576,67.0,474,474
1419330581,67.0,474,474
1419330586,68.0,453,453
1419330591,66.0,448,448
1419330596,63.0,448,448
1419330601,61.0,438,438
1419330606,57.0,434,434
1419330611,55.0,434,434
1419330616,52.0,417,417
1419330621,51.0,351,351
1419330626,48.0,342,342
1419330631,45.0,342,342
1419330636,43.0,337,337
1419330641,39.0,300,300
1419330646,37.0,263,263
1419330651,36.0,263,263
1419330656,38.0,252,252
1419330661,37.0,233,233
