timestamp,mean,p99_min,p99_max
1418390639,1714.0,2955,2955
1418390644,5043.0,7443,7443
1418390649,8697.0,10608,10608
1418390654,8352.0,11393,11393
1418390659,6698.0,11359,11359
1418390664,5201.0,11312,11312
1418390669,4680.0,11296,11296
1418390674,4476.0,11279,11279
1418390679,4574.0,11271,11271
1418390684,4337.0,11267,11267
1418390689,4348.0,11254,11254
1418390694,4406.0,11253,11253
1418390699,4479.0,11159,11159
1418390704,4783.0,11020,11020
1418390709,5093.0,10995,10995
1418390714,5203.0,10912,10912
1418390719,5338.0,10425,10425
1418390724,5876.0,10311,10311
1418390729,6486.0,11325,11325
1418390734,6535.0,11319,11319
1418390739,6384.0,11319,11319
1418390744,6378.0,11218,11218
1418390749,6397.0,11218,11218
1418390754,6186.0,11210,11210
1418390759,6211.0,11160,11160
1418390764,5998.0,10989,10989
1418390769,5825.0,10843,10843
1418390774,5747.0,10693,10693
1418390779,5884.0,10593,10593
1418390784,5949.0,10533,10533
1418390789,6080.0,10526,10526
1418390794,6043.0,10415,10415
1418390799,6006.0,10405,10405
1418390804,6070.0,9875,9875
1418390809,6195.0,9461,9461
1418390814,6096.0,9447,9447
1418390819,6145.0,9374,9374
1418390824,6192.0,8747,8747
1418390829,6261.0,8643,8643
1418390834,6345.0,8643,8643
1418390839,6384.0,8641,8641
1418390844,6465.0,8614,8614
1418390849,6569.0,8496,8496
1418390854,6453.0,8496,8496
1418390859,6360.0,8461,8461
1418390864,6303.0,8445,8445
1418390869,6201.0,8437,8437
1418390874,6321.0,8437,8437
1418390879,6412.0,9085,9085
1418390884,6493.0,9085,9085
1418390889,6635.0,9071,9071
1418390894,6564.0,8882,8882
1418390899,6645.0,8854,8854
1418390904,7036.0,10422,10422
1418390909,6849.0,10405,10405
1418390914,6646.0,10405,10405
1418390919,6701.0,10405,10405
1418390924,6675.0,10400,10400
1418390929,6611.0,10380,10380
1418390934,6773.0,10270,10270
1418390939,6813.0,10160,10160
1418390944,6503.0,10038,10038
1418390949,6322.0,9981,9981
1418390954,6363.0,9981,9981
1418390959,6478.0,9890,9890
1418390964,6641.0,9865,9865
1418390969,6375.0,9771,9771
1418390974,6168.0,9748,9748
1418390979,6040.0,9558,9558
1418390984,6031.0,9505,9505
1418390989,6194.0,9492,9492
