m_1932,386640,41,92,,,43.04,33.08,5
m_1933,386640,41,92,,,43.04,33.08,5
m_1934,386640,41,92,,,43.04,33.08,5
m_1935,386640,41,10,,,43.04,33.08,5
m_1932,386670,43,92,,,43.04,33.08,5
m_1933,386670,43,92,,,43.04,33.08,5
m_1934,386670,43,92,,,43.04,33.08,5
m_1935,386670,99,92,,,43.04,33.08,5
m_1932,386690,44,92,,,43.05,33.08,5
m_1933,386690,44,92,,,43.05,33.08,5
m_1934,386690,44,92,,,43.05,33.08,5
m_1935,386690,44,10,,,43.05,33.08,5
m_1932,386800,46,92,,,43.05,33.08,3
m_1933,386800,46,92,,,43.05,33.08,3
m_1934,386800,46,92,,,43.05,33.08,3
m_1935,386800,46,92,,,43.05,33.08,3
m_1932,386930,44,93,,,43.05,33.09,4
m_1933,386930,44,93,,,43.05,33.09,4
m_1932,387000,41,93,,,43.05,33.09,4
m_1932,387090,46,93,,,43.05,33.09,3
m_1932,387170,47,93,,,43.05,33.09,4
m_1932,387180,46,93,,,43.05,33.09,3
m_1932,387200,46,93,,,43.05,33.09,3
m_1932,387530,46,93,,,43.06,33.1,5
m_1932,387610,73,97,,,43.06,33.1,7
m_1932,387690,75,97,,,43.06,33.1,5
m_1932,387840,68,96,,,43.07,33.1,3
m_1932,387900,71,96,,,43.07,33.1,5
m_1932,387950,68,96,,,43.07,33.1,5
m_1932,387990,66,96,,,43.07,33.1,4
m_1932,388050,55,96,,,43.07,33.11,2
m_1932,388160,52,97,,,43.07,33.11,5
m_1932,388170,53,96,,,43.07,33.11,5
m_1932,388260,41,83,,,43.07,33.11,3
m_1932,388330,37,83,,,43.08,33.11,4
m_1932,388340,36,83,,,43.08,33.11,4
m_1932,388500,35,83,,,43.08,33.11,6
m_1932,388620,35,84,,,43.08,33.12,3
m_1932,388650,32,83,,,43.08,33.12,3
m_1932,388730,37,83,,,43.08,33.12,3
m_1932,388770,34,83,,,43.08,33.12,2
m_1932,388780,30,83,,,43.08,33.12,2
m_1932,388790,31,83,,,43.08,33.12,2
m_1932,388870,38,85,,,43.08,33.12,4
m_1932,388900,35,84,,,43.09,33.12,4
m_1932,389010,47,86,,,43.09,33.12,4
m_1932,389100,49,88,,,43.09,33.12,8
m_1932,389120,46,86,,,43.09,33.12,8
m_1932,389190,40,87,,,43.09,33.13,8
m_1932,389240,36,87,,,43.09,33.13,5
m_1932,389430,41,88,,,43.1,33.13,4
m_1932,389520,46,87,,,43.1,33.13,3
m_1932,389530,46,88,,,43.1,33.13,3
