t,value
1593710865,0.0
1593710866,0.0
1593710870,0.0
1593710871,0.0
1593710875,0.0
1593710876,0.0
1593710880,0.0
1593710881,0.0
1593710885,0.0
1593710886,0.0
1593710890,5.587711930274963E-4
1593710891,5.587711930274963E-4
1593710895,0.001882709562778473
1593710896,0.001882709562778473
1593710900,0.002745881676673889
1593710901,0.002745881676673889
1593710905,0.002822120984395345
1593710906,0.002822120984395345
1593710910,0.0028577235837777457
1593710911,0.0028577235837777457
1593710915,0.0028577235837777457
1593710916,0.0028577235837777457
1593710920,0.0028577235837777457
1593710921,0.0028577235837777457
1593710925,0.0028577235837777457
1593710926,0.0028577235837777457
1593710930,0.0028577235837777457
1593710931,0.0028577235837777457
1593710935,0.0028577235837777457
1593710936,0.0028301229079564414
1593710940,0.0028301229079564414
1593710941,0.0028301229079564414
1593710945,0.0028301229079564414
1593710946,0.0028301229079564414
1593710950,0.0028301229079564414
1593710951,0.0028301229079564414
1593710955,0.0028301229079564414
1593710956,0.0028301229079564414
1593710960,0.0028301229079564414
1593710961,0.0028301229079564414
1593710965,0.0028301229079564414
1593710966,0.0028301229079564414
