timestamp,operator,process_time
1593700422,source,0.282242
1593700427,source,0.165616
1593700432,source,0.165616
1593700437,source,0.151831
1593700442,source,0.151831
1593700447,source,0.115104
1593700452,source,0.110049
1593700457,source,0.104032
1593700462,source,0.092189
1593700467,source,0.090801
1593700472,source,0.090801
1593700477,source,0.084850
1593700482,source,0.084850
1593700487,source,0.093076
1593700492,source,0.090801
1593700497,source,0.090801
1593700503,source,0.092822
1593700507,source,0.093076
1593700512,source,0.091064
1593700517,source,0.091064
1593700522,source,0.085841
1593700527,source,0.085841
1593700532,source,0.084850
1593700537,source,0.083231
1593700542,source,0.083231
1593700547,source,0.081733
1593700552,source,0.083231
1593700557,source,0.079646
1593700562,source,0.072251
1593700567,source,0.079646
1593700572,source,0.076050
1593700577,source,0.076050
1593700582,source,0.072251
1593700588,source,0.070147
1593700592,source,0.069534
1593700597,source,0.069534
1593700602,source,0.069534
1593700607,source,0.069534
1593700612,source,0.069534
1593700617,source,0.069534
1593700622,source,0.069534
1593700627,source,0.069534
1593700632,source,0.069534
1593700637,source,0.069534
1593700642,source,0.069534
1593700647,source,0.069534
1593700652,source,0.069534
1593700657,source,0.069534
1593700662,source,0.069534
1593700667,source,0.069534
1593700672,source,0.069534
1593700677,source,0.069534
1593700682,source,0.069534
1593700687,source,0.069534
1593700692,source,0.069534
1593700697,source,0.069534
1593700702,source,0.069534
1593700707,source,0.069534
1593700712,source,0.069534
1593700717,source,0.069534
1593700722,source,0.069534
1593700727,source,0.069534
1593700732,source,0.069534
1593700737,source,0.069534
1593700742,source,0.069534
1593700747,source,0.069534
1593700752,source,0.069534
1593700757,source,0.069534
1593700762,source,0.069534
1593700767,source,0.069534
1593700772,source,0.069534
1593700777,source,0.069534
1593700782,source,0.069534
1593700787,source,0.069534
1593700792,source,0.069534
1593700797,source,0.069534
1593700802,source,0.069534
1593700807,source,0.069534
1593700812,source,0.069534
1593700817,source,0.069534
1593700822,source,0.069534
1593700827,source,0.069534
1593700832,source,0.069534
1593700837,source,0.069534
1593700842,source,0.069534
1593700847,source,0.069534
1593700852,source,0.069534
1593700857,source,0.069534
1593700862,source,0.069534
1593700867,source,0.069534
1593700872,source,0.069534
1593700877,source,0.069534
1593700882,source,0.069534
1593700887,source,0.069534
1593700892,source,0.069534
1593700897,source,0.069534
1593700902,source,0.069534
1593700907,source,0.069534
1593700912,source,0.069534
1593700917,source,0.069534
1593700922,source,0.069534
1593700927,source,0.069534
1593700932,source,0.069534
1593700937,source,0.069534
1593700942,source,0.069534
1593700947,source,0.069534
1593700952,source,0.069534
1593700957,source,0.069534
1593700962,source,0.069534
1593700967,source,0.069534
1593700972,source,0.069534
1593700977,source,0.069534
1593700982,source,0.069534
1593700987,source,0.069534
1593700992,source,0.069534
1593700997,source,0.069534
1593701002,source,0.069534
1593701007,source,0.069534
1593701012,source,0.069534
1593701017,source,0.069534
1593701022,source,0.069534
1593701027,source,0.069534
1593701032,source,0.069534
1593701037,source,0.069534
1593701042,source,0.069534
1593701047,source,0.069534
1593701052,source,0.069534
1593701057,source,0.069534
1593701062,source,0.069534
1593701067,source,0.069534
1593701072,source,0.069534
1593701077,source,0.069534
1593701082,source,0.069534
1593701087,source,0.069534
1593701092,source,0.069534
1593701097,source,0.069534
1593701102,source,0.069534
1593701107,source,0.069534
1593701112,source,0.069534
1593701117,source,0.069534
1593701122,source,0.069534
1593701127,source,0.069534
1593701132,source,0.069534
1593701137,source,0.069534
1593701142,source,0.069534
1593701147,source,0.069534
1593701152,source,0.069534
1593701157,source,0.069534
1593701162,source,0.069534
1593701167,source,0.069534
1593701172,source,0.069534
1593701177,source,0.069534
1593701182,source,0.069534
1593701187,source,0.069534
1593701192,source,0.069534
1593701197,source,0.069534
1593701202,source,0.069534
1593701207,source,0.069534
1593701212,source,0.069534
1593701217,source,0.069534
1593701222,source,0.069534
1593701227,source,0.069534
1593701232,source,0.069534
1593701237,source,0.069534
1593701242,source,0.069534
1593701247,source,0.069534
1593701252,source,0.069534
1593701257,source,0.069534
1593701262,source,0.069534
1593701267,source,0.069534
1593701272,source,0.069534
1593701277,source,0.069534
1593701282,source,0.069534
1593701287,source,0.069534
1593701292,source,0.069534
1593701297,source,0.069534
1593701302,source,0.069534
1593701307,source,0.069534
1593701312,source,0.069534
1593701317,source,0.069534
1593701322,source,0.069534
1593701327,source,0.069534
1593701332,source,0.069534
1593701337,source,0.069534
1593701342,source,0.069534
1593701347,source,0.069534
1593701352,source,0.069534
1593701357,source,0.069534
1593701362,source,0.069534
1593701367,source,0.069534
1593701372,source,0.069534
1593701377,source,0.069534
1593701382,source,0.069534
1593701387,source,0.069534
1593701392,source,0.069534
1593701397,source,0.069534
1593701402,source,0.069534
1593701407,source,0.069534
1593701412,source,0.069534
1593701417,source,0.069534
1593701422,source,0.069534
1593701427,source,0.069534
1593701432,source,0.069534
1593701437,source,0.069534
1593701442,source,0.069534
1593701447,source,0.069534
1593701452,source,0.069534
1593701457,source,0.069534
1593701462,source,0.069534
1593701467,source,0.069534
1593701472,source,0.069534
1593701477,source,0.069534
1593701482,source,0.069534
1593701487,source,0.069534
1593701492,source,0.069534
1593701497,source,0.069534
1593701502,source,0.069534
1593701507,source,0.069534
1593701512,source,0.069534
1593701517,source,0.069534
1593701522,source,0.069534
1593701527,source,0.069534
1593701532,source,0.069534
1593701537,source,0.069534
1593701542,source,0.069534
1593701547,source,0.069534
1593701552,source,0.069534
1593701557,source,0.069534
1593701562,source,0.069534
1593701567,source,0.069534
1593701572,source,0.069534
1593701577,source,0.069534
1593701582,source,0.069534
1593701587,source,0.069534
1593701592,source,0.069534
1593701597,source,0.069534
1593701602,source,0.069534
1593701607,source,0.069534
1593701612,source,0.069534
1593701617,source,0.069534
1593701622,source,0.069534
1593701627,source,0.069534
1593701632,source,0.069534
1593701637,source,0.069534
1593701642,source,0.069534
1593701647,source,0.069534
1593701652,source,0.069534
1593701657,source,0.069534
1593701662,source,0.069534
1593701667,source,0.069534
1593701672,source,0.069534
1593701677,source,0.069534
1593701682,source,0.069534
1593701687,source,0.069534
1593701692,source,0.069534
1593701697,source,0.069534
1593701702,source,0.069534
1593701707,source,0.069534
1593701712,source,0.069534
1593701717,source,0.069534
1593701722,source,0.069534
1593701727,source,0.069534
1593701732,source,0.069534
1593701737,source,0.069534
1593701742,source,0.069534
1593701747,source,0.069534
1593701752,source,0.069534
1593701757,source,0.069534
1593701762,source,0.069534
1593701767,source,0.069534
1593701772,source,0.069534
1593701777,source,0.069534
1593701782,source,0.069534
1593701787,source,0.069534
1593701792,source,0.069534
1593701797,source,0.069534
1593701802,source,0.069534
1593701807,source,0.069534
1593701812,source,0.069534
1593701817,source,0.069534
1593701822,source,0.069534
1593701827,source,0.069534
1593701832,source,0.069534
1593701837,source,0.069534
1593701842,source,0.069534
1593701847,source,0.069534
1593701852,source,0.069534
1593701857,source,0.069534
1593701862,source,0.069534
1593701867,source,0.069534
1593701872,source,0.069534
1593701877,source,0.069534
1593701882,source,0.069534
1593701887,source,0.069534
1593701892,source,0.069534
1593701897,source,0.069534
1593701902,source,0.069534
1593701907,source,0.069534
1593701912,source,0.069534
1593701917,source,0.069534
1593701922,source,0.069534
1593701927,source,0.069534
1593701932,source,0.069534
1593701937,source,0.069534
1593701942,source,0.069534
1593701947,source,0.069534
1593701952,source,0.069534
1593701957,source,0.069534
1593701962,source,0.069534
1593701967,source,0.069534
1593701972,source,0.069534
1593701977,source,0.069534
1593701982,source,0.069534
1593701987,source,0.069534
1593701992,source,0.069534
1593701997,source,0.069534
1593702002,source,0.069534
1593702007,source,0.069534
1593702012,source,0.069534
1593702017,source,0.069534
1593702022,source,0.069534
1593702027,source,0.069534
1593702032,source,0.069534
1593702037,source,0.069534
1593702042,source,0.069534
1593702047,source,0.069534
1593702052,source,0.069534
1593702057,source,0.069534
1593702062,source,0.069534
1593702067,source,0.069534
1593702072,source,0.069534
1593702077,source,0.069534
1593702082,source,0.069534
1593702087,source,0.069534
1593702092,source,0.069534
1593702097,source,0.069534
1593700422,bargainIndexOperator,0.002861
1593700427,bargainIndexOperator,0.003835
1593700432,bargainIndexOperator,0.004282
1593700437,bargainIndexOperator,0.003357
1593700442,bargainIndexOperator,0.003335
1593700447,bargainIndexOperator,0.002931
1593700452,bargainIndexOperator,0.002931
1593700457,bargainIndexOperator,0.002298
1593700462,bargainIndexOperator,0.002298
1593700467,bargainIndexOperator,0.002931
1593700472,bargainIndexOperator,0.002126
1593700477,bargainIndexOperator,0.001964
1593700482,bargainIndexOperator,0.002083
1593700487,bargainIndexOperator,0.001762
1593700492,bargainIndexOperator,0.001635
1593700497,bargainIndexOperator,0.001500
1593700503,bargainIndexOperator,0.001500
1593700507,bargainIndexOperator,0.001807
1593700512,bargainIndexOperator,0.001984
1593700517,bargainIndexOperator,0.001942
1593700522,bargainIndexOperator,0.001807
1593700527,bargainIndexOperator,0.001942
1593700532,bargainIndexOperator,0.001706
1593700537,bargainIndexOperator,0.001706
1593700542,bargainIndexOperator,0.001706
1593700547,bargainIndexOperator,0.001807
1593700552,bargainIndexOperator,0.001807
1593700557,bargainIndexOperator,0.001942
1593700562,bargainIndexOperator,0.001942
1593700567,bargainIndexOperator,0.002083
1593700572,bargainIndexOperator,0.002411
1593700577,bargainIndexOperator,0.002411
1593700582,bargainIndexOperator,0.001706
1593700588,bargainIndexOperator,0.001815
1593700592,bargainIndexOperator,0.001635
1593700597,bargainIndexOperator,0.001593
1593700602,bargainIndexOperator,0.001559
1593700607,bargainIndexOperator,0.001422
1593700612,bargainIndexOperator,0.001706
1593700617,bargainIndexOperator,0.001604
1593700622,bargainIndexOperator,0.001422
1593700627,bargainIndexOperator,0.001422
1593700632,bargainIndexOperator,0.001422
1593700637,bargainIndexOperator,0.001422
1593700642,bargainIndexOperator,0.001406
1593700647,bargainIndexOperator,0.001338
1593700652,bargainIndexOperator,0.001322
1593700657,bargainIndexOperator,0.001322
1593700662,bargainIndexOperator,0.001314
1593700667,bargainIndexOperator,0.001296
1593700672,bargainIndexOperator,0.001490
1593700677,bargainIndexOperator,0.001490
1593700682,bargainIndexOperator,0.001490
1593700687,bargainIndexOperator,0.001422
1593700692,bargainIndexOperator,0.001490
1593700697,bargainIndexOperator,0.001422
1593700702,bargainIndexOperator,0.001324
1593700707,bargainIndexOperator,0.001322
1593700712,bargainIndexOperator,0.001322
1593700717,bargainIndexOperator,0.001296
1593700722,bargainIndexOperator,0.001285
1593700727,bargainIndexOperator,0.001156
1593700732,bargainIndexOperator,0.000989
1593700737,bargainIndexOperator,0.001156
1593700742,bargainIndexOperator,0.001198
