t,value
1407252385,{total=0}
1407252387,{1407252384=2; total=2}
1407252389,{1407252385=2; total=2}
1407252391,{1407252387=2; total=2}
1407252393,{1407252389=2; total=2}
1407252395,{1407252391=2; total=2}
1407252397,{1407252393=2; total=2}
1407252399,{1407252395=2; total=2}
1407252401,{1407252397=2; total=2}
1407252403,{1407252399=2; total=2}
1407252405,{1407252401=2; total=2}
1407252407,{1407252403=2; total=2}
1407252409,{1407252405=2; total=2}
1407252411,{1407252407=2; total=2}
1407252413,{1407252409=2; total=2}
1407252415,{1407252411=2; total=2}
1407252417,{1407252413=2; total=2}
1407252419,{1407252415=2; total=2}
1407252421,{1407252417=2; total=2}
1407252423,{1407252419=2; total=2}
1407252425,{1407252421=2; total=2}
1407252427,{1407252423=2; total=2}
1407252429,{1407252425=2; total=2}
1407252431,{1407252427=2; total=2}
1407252433,{1407252429=2; total=2}
1407252435,{1407252431=2; total=2}
1407252437,{1407252433=2; total=2}
1407252439,{1407252435=2; total=2}
1407252441,{1407252437=2; total=2}
1407252443,{1407252439=2; total=2}
1407252445,{1407252441=2; total=2}
1407252447,{1407252443=2; total=2}
1407252449,{1407252445=2; total=2}
1407252451,{1407252447=2; total=2}
1407252453,{1407252449=2; total=2}
1407252455,{1407252451=2; total=2}
1407252457,{1407252453=2; total=2}
1407252459,{1407252455=2; total=2}
1407252461,{1407252457=2; total=2}
1407252463,{1407252459=2; total=2}
1407252465,{1407252461=2; total=2}
1407252467,{1407252463=2; total=2}
1407252469,{1407252465=2; total=2}
1407252471,{1407252467=2; total=2}
1407252473,{1407252469=2; total=2}
1407252475,{1407252471=2; total=2}
1407252477,{1407252473=2; total=2}
1407252479,{1407252475=2; total=2}
1407252481,{1407252477=2; total=2}
1407252483,{1407252479=2; total=2}
1407252485,{1407252481=2; total=2}
1407252487,{1407252483=2; total=2}
1407252489,{1407252485=2; total=2}
1407252491,{1407252487=2; total=2}
1407252493,{1407252489=2; total=2}
1407252495,{1407252491=2; total=2}
1407252497,{1407252493=2; total=2}
1407252499,{1407252495=2; total=2}
1407252501,{1407252497=2; total=2}
1407252503,{1407252499=2; total=2}
1407252505,{1407252501=2; total=2}
1407252507,{1407252503=2; total=2}
1407252509,{1407252505=2; total=2}
1407252511,{1407252507=2; total=2}
1407252513,{1407252509=2; total=2}
1407252515,{1407252511=2; total=2}
1407252517,{1407252513=2; total=2}
1407252519,{1407252515=2; total=2}
1407252521,{1407252517=2; total=2}
1407252523,{1407252519=2; total=2}
1407252525,{1407252521=2; total=2}
1407252527,{1407252523=2; total=2}
1407252529,{1407252525=2; total=2}
1407252531,{1407252527=2; total=2}
1407252533,{1407252529=2; total=2}
1407252535,{1407252531=2; total=2}
1407252537,{1407252533=2; total=2}
1407252539,{1407252535=2; total=2}
1407252541,{1407252537=2; total=2}
1407252543,{1407252539=2; total=2}
1407252545,{1407252541=2; total=2}
1407252547,{1407252543=2; total=2}
1407252549,{1407252545=2; total=2}
1407252551,{1407252547=2; total=2}
1407252553,{1407252549=2; total=2}
1407252555,{1407252551=2; total=2}
1407252557,{1407252553=2; total=2}
1407252559,{1407252555=2; total=2}
1407252561,{1407252557=2; total=2}
1407252563,{1407252559=2; total=2}
1407252565,{1407252561=2; total=2}
1407252567,{1407252563=2; total=2}
1407252569,{1407252565=2; total=2}
1407252571,{1407252567=2; total=2}
1407252573,{1407252569=2; total=2}
1407252575,{1407252571=2; total=2}
1407252577,{1407252573=2; total=2}
1407252579,{1407252575=2; total=2}
1407252581,{1407252577=2; total=2}
1407252583,{1407252579=2; total=2}
1407252585,{1407252581=2; total=2}
1407252587,{1407252583=2; total=2}
1407252589,{1407252585=2; total=2}
1407252591,{1407252587=2; total=2}
1407252593,{1407252589=2; total=2}
1407252595,{1407252591=2; total=2}
1407252597,{1407252593=2; total=2}
1407252599,{1407252595=2; total=2}
1407252601,{1407252597=2; total=2}
1407252603,{1407252599=2; total=2}
1407252605,{1407252601=2; total=2}
1407252607,{1407252603=2; total=2}
1407252609,{1407252605=2; total=2}
1407252611,{1407252607=2; total=2}
1407252613,{1407252609=2; total=2}
1407252615,{1407252611=2; total=2}
1407252617,{1407252613=2; total=2}
1407252619,{1407252615=2; total=2}
1407252621,{1407252617=2; total=2}
1407252623,{1407252619=2; total=2}
1407252625,{1407252621=2; total=2}
1407252627,{1407252623=2; total=2}
1407252629,{1407252625=2; total=2}
1407252631,{1407252627=2; total=2}
1407252633,{1407252629=2; total=2}
1407252635,{1407252631=2; total=2}
1407252637,{1407252633=2; total=2}
1407252639,{1407252635=2; total=2}
1407252641,{1407252637=2; total=2}
1407252643,{1407252639=2; total=2}
1407252645,{1407252641=2; total=2}
1407252647,{1407252643=2; total=2}
1407252649,{1407252645=2; total=2}
1407252651,{1407252647=2; total=2}
1407252653,{1407252649=2; total=2}
1407252655,{1407252651=2; total=2}
1407252657,{1407252653=2; total=2}
1407252659,{1407252655=2; total=2}
1407252661,{1407252657=2; total=2}
1407252663,{1407252659=2; total=2}
1407252665,{1407252661=2; total=2}
1407252667,{1407252663=2; total=2}
1407252669,{1407252665=2; total=2}
1407252671,{1407252667=2; total=2}
1407252673,{1407252669=2; total=2}
1407252675,{1407252671=2; total=2}
1407252677,{1407252673=2; total=2}
1407252679,{1407252675=2; total=2}
1407252681,{1407252677=2; total=2}
1407252683,{1407252679=2; total=2}
1407252685,{1407252681=2; total=2}
1407252687,{1407252683=2; total=2}
1407252689,{1407252685=2; total=2}
1407252691,{1407252687=2; total=2}
1407252693,{1407252689=2; total=2}
1407252695,{1407252691=2; total=2}
1407252697,{1407252693=2; total=2}
1407252699,{1407252695=2; total=2}
1407252701,{1407252697=2; total=2}
1407252703,{1407252699=2; total=2}
1407252705,{1407252701=2; total=2}
1407252707,{1407252703=2; total=2}
1407252709,{1407252705=2; total=2}
1407252711,{1407252707=2; total=2}
1407252713,{1407252709=2; total=2}
1407252715,{1407252711=2; total=2}
1407252717,{1407252713=2; total=2}
1407252719,{1407252715=2; total=2}
1407252721,{1407252717=2; total=2}
1407252723,{1407252719=2; total=2}
1407252725,{1407252721=2; total=2}
1407252727,{1407252723=2; total=2}
1407252729,{1407252725=2; total=2}
1407252731,{1407252727=2; total=2}
1407252733,{1407252729=2; total=2}
1407252735,{1407252731=2; total=2}
1407252737,{1407252733=2; total=2}
1407252739,{1407252735=2; total=2}
1407252741,{1407252737=2; total=2}
1407252743,{1407252739=2; total=2}
1407252745,{1407252741=2; total=2}
1407252747,{1407252743=2; total=2}
1407252749,{1407252745=2; total=2}
1407252751,{1407252747=2; total=2}
1407252753,{1407252749=2; total=2}
1407252755,{1407252751=2; total=2}
